formula,T(K)
Li2Pb2Se3,400
Li2Pb2Se3,800
Li2Pb2Se3,500
PbSe,300
PbSe,400
PbSe,500
PbSe,600
PbTe,800
ZnIn2Se4,800
KMgAs,400
KMgAs,500
KMgAs,600
KMgSb,500
KMgAs,700
KMgSb,300
KMgSb,400
BiSbS3,300
BiSbS4,400
BiSbS5,500
BiSbS6,600
CuGaTe2,400
CuGaTe2,550
CuGaTe2,350
CuGaTe2,450
CuGa0.99Ti0.01Te2,400
CuGa0.99Ti0.01Te2,450
BaSnS3,375
CuGa0.97Ti0.03Te2,650
CuGa0.99Ti0.01Te2,500
CuGa0.95Ti0.05Te2,400
CuGa0.97Ti0.03Te2,600
CuGa0.97Ti0.03Te2,500
CuGa0.97Ti0.03Te2,550
CuGa0.95Ti0.05Te2,450
CuGa0.95Ti0.05Te2,500
BaSnS3,300
BaSnS3,450
CuGa0.97Ti0.03Te2,450
BaSnS3,525
BaSnS3,600
BaSnS3,675
SrSnS3,375
BaSnS3,750
SrSnS3,450
SrSnS3,525
SrSnS3,600
SrSnS3,675
BaSnS3,900
SrSnS3,750
SrSnS3,825
Ga2I2S2,350
Ga2I2S2,650
Ga2I2S2,700
Cu0.99Ga0.99Te1.98Cd0.01Cl0.02,400
PbBi2Te4,800
Ga2I2S2,750
Ga2I2S2,800
SnBi2Te4,500
PbSb2Te4,300
PbSb2Te4,350
PbSb2Te4,600
PbSb2Te4,650
PbSb2Te4,450
PbSb2Te4,700
PbSb2Te4,750
PbSb2Te4,800
PbSb2Te4,850
PbSb2Te4,900
Cu2ZnSnS4,600
CuGa0.97Ti0.03Te2,450
PbSb2Te4,950
CuGa0.95Ti0.05Te2,700
PbSb2Te4,1000
PbSb2Te4,1050
PbSb2Te4,1100
PbSb2Te4,1150
PbSb2Te4,1200
PbBi2Te4,350
PbBi2Te4,950
PbBi2Te4,1000
PbBi2Te4,1050
PbBi2Te4,1100
PbBi2Te4,1150
PbBi2Te4,1200
Cu2ZnSnS4,300
Cu2ZnSnSe4,600
Cu2ZnSnSe4,700
CuGaTe2CdCl2,650
CuGaTe2CdCl2,700
CuGaTe2CdCl2,750
CuGaTe2CdCl2,800
Cu0.99Ga0.99Te1.98Cd0.01Cl0.02,350
CuGaTe2ZnCl2,650
CuGaTe2CdCl2,600
CuGaTe2ZnCl2,600
CuGaTe2ZnCl2,700
CuGaTe2ZnCl2,750
NaCuTe,200
NaCuTe,500
NaCuTe,600
KCuTe,500
KCuTe,600
KCuTe,700
RbCuTe,400
RbCuTe,500
RbCuTe,600
