formula,T(K),composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,pred_k(W/mK)
Li2Pb2Se3,400,Li2 Pb2 Se3,3.0,82.0,79.0,38.85714285714285,24.6530612244898,34.0,1.0,89.0,88.0,61.57142857142857,34.61224489795918,89.0,6.941,207.2,200.259,95.02314285714286,64.1010612244898,78.96,453.69,600.61,146.92000000000002,512.9428571428572,50.095510204081656,494.0,1.0,16.0,15.0,11.142857142857142,5.795918367346938,16.0,2.0,6.0,4.0,4.0,1.1428571428571428,4.0,120.0,146.0,26.0,129.71428571428572,9.306122448979597,120.0,0.98,2.55,1.5699999999999998,2.0385714285714287,0.6048979591836733,2.55,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.469387755102041,4.0,0.0,10.0,10.0,7.142857142857143,4.081632653061225,10.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,1.0,28.0,27.0,15.142857142857142,8.081632653061224,16.0,0.0,1.0,1.0,0.2857142857142857,0.4081632653061224,0.0,0.0,4.0,4.0,2.0,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.979591836734694,2.0,16.5933333333,28.11,11.5166666667,23.88095238094286,4.1643537415102045,25.92,0.0,0.799,0.799,0.3424285714285714,0.3913469387755102,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,135.71428571428572,104.3265306122449,14.0,1.1193196
Li2Pb2Se3,800,Li2 Pb2 Se3,3.0,82.0,79.0,38.85714285714285,24.6530612244898,34.0,1.0,89.0,88.0,61.57142857142857,34.61224489795918,89.0,6.941,207.2,200.259,95.02314285714286,64.1010612244898,78.96,453.69,600.61,146.92000000000002,512.9428571428572,50.095510204081656,494.0,1.0,16.0,15.0,11.142857142857142,5.795918367346938,16.0,2.0,6.0,4.0,4.0,1.1428571428571428,4.0,120.0,146.0,26.0,129.71428571428572,9.306122448979597,120.0,0.98,2.55,1.5699999999999998,2.0385714285714287,0.6048979591836733,2.55,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.469387755102041,4.0,0.0,10.0,10.0,7.142857142857143,4.081632653061225,10.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,1.0,28.0,27.0,15.142857142857142,8.081632653061224,16.0,0.0,1.0,1.0,0.2857142857142857,0.4081632653061224,0.0,0.0,4.0,4.0,2.0,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.979591836734694,2.0,16.5933333333,28.11,11.5166666667,23.88095238094286,4.1643537415102045,25.92,0.0,0.799,0.799,0.3424285714285714,0.3913469387755102,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,135.71428571428572,104.3265306122449,14.0,0.6050789
Li2Pb2Se3,500,Li2 Pb2 Se3,3.0,82.0,79.0,38.85714285714285,24.6530612244898,34.0,1.0,89.0,88.0,61.57142857142857,34.61224489795918,89.0,6.941,207.2,200.259,95.02314285714286,64.1010612244898,78.96,453.69,600.61,146.92000000000002,512.9428571428572,50.095510204081656,494.0,1.0,16.0,15.0,11.142857142857142,5.795918367346938,16.0,2.0,6.0,4.0,4.0,1.1428571428571428,4.0,120.0,146.0,26.0,129.71428571428572,9.306122448979597,120.0,0.98,2.55,1.5699999999999998,2.0385714285714287,0.6048979591836733,2.55,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.469387755102041,4.0,0.0,10.0,10.0,7.142857142857143,4.081632653061225,10.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,1.0,28.0,27.0,15.142857142857142,8.081632653061224,16.0,0.0,1.0,1.0,0.2857142857142857,0.4081632653061224,0.0,0.0,4.0,4.0,2.0,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.979591836734694,2.0,16.5933333333,28.11,11.5166666667,23.88095238094286,4.1643537415102045,25.92,0.0,0.799,0.799,0.3424285714285714,0.3913469387755102,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,135.71428571428572,104.3265306122449,14.0,1.0415014
PbSe,300,Pb1 Se1,34.0,82.0,48.0,58.0,24.0,34.0,81.0,89.0,8.0,85.0,4.0,81.0,78.96,207.2,128.24,143.07999999999998,64.12,78.96,494.0,600.61,106.61,547.3050000000001,53.30500000000001,494.0,14.0,16.0,2.0,15.0,1.0,14.0,4.0,6.0,2.0,5.0,1.0,4.0,120.0,146.0,26.0,133.0,13.0,120.0,2.33,2.55,0.2199999999999997,2.44,0.1099999999999998,2.33,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,16.0,28.0,12.0,22.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,25.92,28.11,2.1899999999999977,27.015,1.0949999999999989,25.92,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,119.5,105.5,14.0,2.571939
PbSe,400,Pb1 Se1,34.0,82.0,48.0,58.0,24.0,34.0,81.0,89.0,8.0,85.0,4.0,81.0,78.96,207.2,128.24,143.07999999999998,64.12,78.96,494.0,600.61,106.61,547.3050000000001,53.30500000000001,494.0,14.0,16.0,2.0,15.0,1.0,14.0,4.0,6.0,2.0,5.0,1.0,4.0,120.0,146.0,26.0,133.0,13.0,120.0,2.33,2.55,0.2199999999999997,2.44,0.1099999999999998,2.33,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,16.0,28.0,12.0,22.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,25.92,28.11,2.1899999999999977,27.015,1.0949999999999989,25.92,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,119.5,105.5,14.0,1.9336
PbSe,500,Pb1 Se1,34.0,82.0,48.0,58.0,24.0,34.0,81.0,89.0,8.0,85.0,4.0,81.0,78.96,207.2,128.24,143.07999999999998,64.12,78.96,494.0,600.61,106.61,547.3050000000001,53.30500000000001,494.0,14.0,16.0,2.0,15.0,1.0,14.0,4.0,6.0,2.0,5.0,1.0,4.0,120.0,146.0,26.0,133.0,13.0,120.0,2.33,2.55,0.2199999999999997,2.44,0.1099999999999998,2.33,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,16.0,28.0,12.0,22.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,25.92,28.11,2.1899999999999977,27.015,1.0949999999999989,25.92,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,119.5,105.5,14.0,1.75892
PbSe,600,Pb1 Se1,34.0,82.0,48.0,58.0,24.0,34.0,81.0,89.0,8.0,85.0,4.0,81.0,78.96,207.2,128.24,143.07999999999998,64.12,78.96,494.0,600.61,106.61,547.3050000000001,53.30500000000001,494.0,14.0,16.0,2.0,15.0,1.0,14.0,4.0,6.0,2.0,5.0,1.0,4.0,120.0,146.0,26.0,133.0,13.0,120.0,2.33,2.55,0.2199999999999997,2.44,0.1099999999999998,2.33,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,16.0,28.0,12.0,22.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,25.92,28.11,2.1899999999999977,27.015,1.0949999999999989,25.92,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,119.5,105.5,14.0,1.6891975
PbTe,800,Pb1 Te1,52.0,82.0,30.0,67.0,15.0,52.0,81.0,90.0,9.0,85.5,4.5,81.0,127.6,207.2,79.6,167.39999999999998,39.8,127.6,600.61,722.66,122.04999999999995,661.635,61.02499999999998,600.61,14.0,16.0,2.0,15.0,1.0,14.0,5.0,6.0,1.0,5.5,0.5,5.0,138.0,146.0,8.0,142.0,4.0,138.0,2.1,2.33,0.2299999999999999,2.215,0.1149999999999999,2.1,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,16.0,28.0,12.0,22.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,28.11,34.7633333333,6.653333333299997,31.43666666665,3.3266666666499987,28.11,0.0,0.464,0.464,0.232,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,188.5,36.5,152.0,1.4357919
ZnIn2Se4,800,Zn1 In2 Se4,30.0,49.0,19.0,37.71428571428572,6.448979591836735,34.0,69.0,89.0,20.0,82.14285714285714,7.836734693877552,89.0,65.38,114.818,49.438,87.26514285714286,15.744489795918373,78.96,429.75,692.68,262.92999999999995,504.0257142857143,53.90122448979592,494.0,12.0,16.0,4.0,14.571428571428571,1.6326530612244898,16.0,4.0,5.0,1.0,4.285714285714286,0.4081632653061224,4.0,120.0,142.0,22.0,126.57142857142856,8.816326530612244,120.0,1.65,2.55,0.8999999999999999,2.2014285714285715,0.3983673469387754,2.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.571428571428572,1.6326530612244898,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,4.0,14.571428571428571,1.6326530612244898,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.571428571428572,1.3877551020408163,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.571428571428572,1.3877551020408163,2.0,13.96,25.92,11.96,23.73714285714286,2.7934693877551013,25.92,0.0,0.799,0.799,0.4565714285714286,0.3913469387755102,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,194.0,180.0,75.42857142857143,70.20408163265306,14.0,0.7116526
KMgAs,400,K1 Mg1 As1,12.0,33.0,21.0,21.33333333333333,7.777777777777778,12.0,3.0,84.0,81.0,51.66666666666666,32.44444444444445,3.0,24.305,74.9216,50.6166,46.10830000000001,19.20886666666667,24.305,336.53,1090.0,753.47,783.1766666666666,297.76444444444445,336.53,1.0,15.0,14.0,6.0,6.0,1.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,119.0,203.0,84.0,154.33333333333334,32.44444444444445,119.0,0.82,2.18,1.3600000000000003,1.4366666666666668,0.4955555555555556,0.82,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,6.0,6.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3333333333333333,1.111111111111111,0.0,22.175,73.1066666667,50.9316666667,39.39055555556666,22.47740740742222,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,196.3333333333333,21.777777777777786,166.0,1.545949
