formula,T(K),S(muV/K),¦Ò(S/cm),TC(W/mK),PF,ZT,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Ti0.99Nb0.01NiSn,400,-192.46,806.39,5.862,0.002987,0.203822,Ti0.99 Nb0.01 Ni1 Sn1,22.0,50.0,28.0,33.39666666666667,11.119577777777778,28.0,43.0,80.0,37.0,61.346666666666664,12.435555555555553,61.0,47.867,118.71,70.84299999999999,75.24026459999999,29.09759770266666,58.6934,505.08,2750.0,2244.92,1394.0566666666666,592.6511111111112,505.08,4.0,14.0,10.0,9.336666666666666,3.5511111111111116,10.0,4.0,5.0,1.0,4.336666666666667,0.44664444444444457,4.0,124.0,164.0,40.0,141.01333333333332,12.68444444444444,124.0,1.54,1.96,0.41999999999999993,1.8035333333333332,0.1752888888888889,1.91,1.0,2.0,1.0,1.9966666666666668,0.0066444444444443,2.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,2.0,10.0,8.0,6.673333333333333,3.1022222222222227,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,10.0,9.336666666666666,3.5511111111111116,10.0,0.0,1.0,1.0,0.0033333333333333335,0.006644444444444445,0.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,8.0,8.0,3.3266666666666667,3.102222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.663333333333333,2.2177777777777776,2.0,10.32,33.285,22.964999999999996,20.1033,8.787799999999999,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.198472336,0.26461490933333337,0.0,141.0,229.0,88.0,186.78333333333333,30.522222222222222,141.0
Cu1.98Se,1000,201.5,307.69,1.015,0.001249,1.230837,Cu1.98 Se1,29.0,34.0,5.0,30.67785234899329,2.2296292959776594,29.0,64.0,89.0,25.0,72.38926174496645,11.148146479888295,64.0,63.546,78.96,15.413999999999994,68.7184832214765,6.873501193639923,63.546,494.0,1357.77,863.77,1067.9142953020134,385.17737939732444,1357.77,11.0,16.0,5.0,12.677852348993289,2.229629295977659,11.0,4.0,4.0,0.0,4.0,0.0,4.0,120.0,132.0,12.0,127.97315436241611,5.351110310346379,132.0,1.9,2.55,0.6499999999999999,2.118120805369127,0.2898518084770955,1.9,1.0,2.0,1.0,1.3355704697986577,0.44592585919553174,1.0,0.0,4.0,4.0,1.342281879194631,1.783703436782127,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,12.677852348993289,2.229629295977659,11.0,0.0,1.0,1.0,0.6644295302013423,0.44592585919553174,1.0,0.0,2.0,2.0,0.6711409395973155,0.8918517183910635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3355704697986577,0.44592585919553174,1.0,11.07,25.92,14.850000000000001,16.053221476510068,6.621999009053647,11.07,0.0,0.799,0.799,0.2681208053691275,0.3562947614972299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,154.19463087248323,94.0903562902572,225.0
Bi2Te3,300,-174.0,2222.2,4.017,0.006728,0.5025,Bi2 Te3,52.0,83.0,31.0,64.4,14.88,52.0,86.0,90.0,4.0,88.4,1.9199999999999988,90.0,127.6,208.9804,81.38040000000001,160.15216,39.06259200000001,127.6,544.4,722.66,178.26,651.356,85.56479999999999,722.66,15.0,16.0,1.0,15.6,0.4800000000000001,16.0,5.0,6.0,1.0,5.4,0.4800000000000001,5.0,138.0,148.0,10.0,142.0,4.8,138.0,2.02,2.1,0.08000000000000007,2.068,0.03840000000000003,2.1,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6,0.48,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,5.6,6.719999999999999,0.0,16.0,29.0,13.0,21.2,6.24,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,32.95,34.7633333333,1.813333333299994,34.03799999998,0.8703999999839965,34.7633333333,0.0,0.464,0.464,0.27840000000000004,0.22271999999999997,0.464,0.0,0.0,0.0,0.0,0.0,0.0,12.0,152.0,140.0,96.0,67.2,152.0
Cr1.3Mo6S8,700,51.22,1442.4,2.691,0.000378,0.098456,Cr1.3 Mo6 S8,16.0,42.0,26.0,26.87581699346405,11.862104318851724,16.0,49.0,88.0,39.0,69.7843137254902,19.049083685761886,88.0,32.065,95.96,63.894999999999996,58.81535490196078,29.133054978854286,32.065,388.36,2896.0,2507.64,1523.9790849673202,1187.5755136913153,388.36,6.0,16.0,10.0,11.228758169934641,4.989533939937631,16.0,3.0,5.0,2.0,3.869281045751634,0.9090520739886369,3.0,105.0,154.0,49.0,127.10457516339869,23.11589559571105,105.0,1.66,2.58,0.9200000000000002,2.337124183006536,0.25398778247682513,2.58,1.0,2.0,1.0,1.522875816993464,0.49895339399376304,2.0,0.0,4.0,4.0,2.0915032679738563,1.9958135759750524,4.0,0.0,5.0,5.0,2.3856209150326797,2.4947669699688158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,5.999999999999999,8.881784197001252e-16,6.0,0.0,1.0,1.0,0.4771241830065359,0.4989533939937631,0.0,0.0,2.0,2.0,1.0457516339869282,0.9979067879875262,2.0,0.0,5.0,5.0,2.3856209150326797,2.4947669699688158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.9084967320261432,1.9958135759750522,2.0,11.19,25.786875,14.596874999999999,20.587058823529407,5.437716262975778,25.786875,0.0,2.202,2.202,1.1513725490196078,1.0986953735742662,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,229.0,159.0,145.8627450980392,79.33358964500832,70.0
Bi1.2S1.2Ti2S4,300,-41.3,3086.4,2.94,0.000526,0.053719,Bi1.2 S5.2 Ti2,16.0,83.0,67.0,27.0,16.0,16.0,43.0,88.0,45.0,77.0,16.19047619047619,88.0,32.065,208.9804,176.9154,61.101009523809516,42.25125442176871,32.065,388.36,1941.0,1552.6399999999999,780.327619047619,552.7011337868481,388.36,4.0,16.0,12.0,13.0,4.285714285714286,16.0,3.0,6.0,3.0,3.6666666666666665,0.8253968253968252,3.0,105.0,160.0,55.0,124.23809523809523,23.818594104308385,105.0,1.54,2.58,1.04,2.2523809523809524,0.40562358276643995,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.9047619047619047,1.3832199546485262,4.0,0.0,10.0,10.0,1.9047619047619047,2.3582766439909295,0.0,0.0,14.0,14.0,2.0,3.428571428571428,0.0,4.0,29.0,25.0,8.809523809523808,5.768707482993197,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.6666666666666665,0.7936507936507936,2.0,0.0,8.0,8.0,1.9047619047619047,2.902494331065759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.571428571428571,2.108843537414966,2.0,16.69,32.95,16.26,24.64425595238095,3.7877409297052163,25.786875,0.0,2.202,2.202,1.3631428571428572,1.0385850340136051,2.202,0.0,2.25333333333e-05,2.25333333333e-05,5.365079365071429e-06,8.175359032489794e-06,0.0,12.0,194.0,182.0,91.23809523809523,48.934240362811785,70.0
Ba0.4Sr0.6PbO3,300,-82.77,242.26,2.295,0.000166,0.021697,Ba0.4 Sr0.6 Pb1 O3,8.0,82.0,74.0,30.24,26.688,8.0,8.0,87.0,79.0,70.08,24.672,87.0,15.9994,207.2,191.20059999999998,72.5402,67.84896,15.9994,54.8,1050.0,995.2,359.00200000000007,365.0424,54.8,2.0,16.0,14.0,12.8,4.319999999999999,16.0,2.0,6.0,4.0,3.4799999999999995,1.7759999999999998,2.0,66.0,215.0,149.0,109.4,52.08,66.0,0.89,3.44,2.55,2.7152000000000003,0.8697599999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,2.0,28.0,26.0,9.6,7.359999999999999,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,9.105,63.59,54.485,22.6798,16.28976,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,97.52000000000001,102.624,12.0
SrTi0.8Nb0.2O3,400,-62.4,704.0,8.62,0.000274,0.01272,Sr1 Ti0.8 Nb0.2 O3,8.0,41.0,33.0,17.560000000000002,11.472,8.0,8.0,87.0,79.0,62.56,29.327999999999996,87.0,15.9994,92.90638,76.90698,38.4986152,26.99905824,15.9994,54.8,2750.0,2695.2,663.44,730.368,54.8,2.0,16.0,14.0,10.84,6.192,16.0,2.0,5.0,3.0,3.04,1.248,2.0,66.0,195.0,129.0,110.75999999999999,53.712,66.0,0.95,3.44,2.49,2.5644,1.05072,3.44,1.0,2.0,1.0,1.9600000000000002,0.07679999999999984,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,4.0,4.0,0.4800000000000001,0.7680000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.84,1.4048,6.0,0.0,1.0,1.0,0.04,0.07680000000000001,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,8.0,8.0,1.52,2.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.7600000000000002,2.016,2.0,9.105,54.23,45.125,19.706599999999998,13.809359999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,3.605333333328e-06,6.0569599999910405e-06,0.0,12.0,229.0,217.0,92.4,96.47999999999999,12.0
Mg2Si0.997Bi0.003,300,-76.6,2049.2,6.16,0.001202,0.058557,Mg2 Si0.997 Bi0.003,12.0,83.0,71.0,12.735666666666667,0.9808888888888889,12.0,68.0,86.0,18.0,71.34133333333334,4.455111111111113,68.0,24.305,208.9804,184.6754,25.74606156666667,1.921415422222223,24.305,544.4,1687.0,1142.6,1176.5240666666668,339.29633702222225,923.0,2.0,15.0,13.0,6.001,5.334666666666667,2.0,3.0,6.0,3.0,3.003,0.005994000000000113,3.0,111.0,148.0,37.0,131.037,13.317925999999998,141.0,1.31,2.02,0.71,1.5067866666666667,0.2623822222222222,1.31,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,0.6676666666666667,0.8902222222222221,0.0,0.0,10.0,10.0,0.01,0.01998,0.0,0.0,14.0,14.0,0.014,0.027972,0.0,2.0,29.0,27.0,2.6916666666666664,0.9222222222222222,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.3323333333333334,1.7764444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.3323333333333334,1.7764444444444445,0.0,20.44,32.95,12.510000000000002,22.085843333333333,1.0939372022222222,22.89,0.0,0.773,0.773,0.2568936666666667,0.34303867622222234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,227.0,215.0,204.78499999999997,14.76556999999999,194.0
Zn4Sb3,400,160.99,398.5,0.75,0.001033,0.550828,Zn4 Sb3,30.0,51.0,21.0,39.0,10.285714285714286,30.0,69.0,85.0,16.0,75.85714285714286,7.836734693877552,69.0,65.38,121.76,56.38000000000001,89.54285714285713,27.614693877551023,65.38,692.68,903.78,211.10000000000002,783.1514285714285,103.39591836734694,692.68,12.0,15.0,3.0,13.285714285714286,1.469387755102041,12.0,4.0,5.0,1.0,4.428571428571429,0.489795918367347,4.0,122.0,139.0,17.0,129.28571428571428,8.326530612244897,122.0,1.65,2.05,0.3999999999999999,1.8214285714285714,0.19591836734693874,1.65,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.2857142857142858,1.4693877551020407,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,3.0,13.285714285714286,1.469387755102041,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.2857142857142858,1.4693877551020407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.2857142857142858,1.4693877551020407,0.0,13.96,31.56,17.599999999999998,21.502857142857142,8.620408163265305,13.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,194.0,28.0,182.0,13.714285714285714,194.0
Tl0.01Pb0.99Te,400,201.46,282.05,1.552,0.001145,0.295086,Tl0.01 Pb0.99 Te1,52.0,82.0,30.0,66.995,14.995000000000001,52.0,76.0,90.0,14.0,85.475,4.525,90.0,127.6,207.2,79.6,167.3859165,39.7859165,127.6,577.0,722.66,145.65999999999997,661.51695,61.143049999999974,722.66,13.0,16.0,3.0,14.995000000000001,1.005,16.0,5.0,6.0,1.0,5.5,0.5,5.0,138.0,146.0,8.0,141.995,3.995,138.0,1.62,2.33,0.71,2.21145,0.11736449999999998,2.1,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.995,1.005,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,16.0,28.0,12.0,21.994999999999997,5.994999999999999,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.005,1.005,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.005,1.005,2.0,26.91,34.7633333333,7.853333333299997,31.430666666649998,3.332666666649999,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,188.345,36.345,152.0
