formula,T(K),k(W/mK),composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Ti0.99Nb0.01NiSn,400,5.862,Ti0.99 Nb0.01 Ni1 Sn1,22,50,28,33.39666667,11.11957778,28,43,80,37,61.34666667,12.43555556,61,47.867,118.71,70.843,75.2402646,29.0975977,58.6934,505.08,2750,2244.92,1394.056667,592.6511111,505.08,4,14,10,9.336666667,3.551111111,10,4,5,1,4.336666667,0.446644444,4,124,164,40,141.0133333,12.68444444,124,1.54,1.96,0.42,1.803533333,0.175288889,1.91,1,2,1,1.996666667,0.006644444,2,0,2,2,0.666666667,0.888888889,0,2,10,8,6.673333333,3.102222222,8,0,0,0,0,0,0,4,14,10,9.336666667,3.551111111,10,0,1,1,0.003333333,0.006644444,0,0,4,4,1.333333333,1.777777778,0,0,8,8,3.326666667,3.102222222,0,0,0,0,0,0,0,2,8,6,4.663333333,2.217777778,2,10.32,33.285,22.965,20.1033,8.7878,10.32,0,0,0,0,0,0,0,0.5953947,0.5953947,0.198472336,0.264614909,0,141,229,88,186.7833333,30.52222222,141
Cu1.98Se,1000,1.015,Cu1.98 Se1,29,34,5,30.67785235,2.229629296,29,64,89,25,72.38926174,11.14814648,64,63.546,78.96,15.414,68.71848322,6.873501194,63.546,494,1357.77,863.77,1067.914295,385.1773794,1357.77,11,16,5,12.67785235,2.229629296,11,4,4,0,4,0,4,120,132,12,127.9731544,5.35111031,132,1.9,2.55,0.65,2.118120805,0.289851808,1.9,1,2,1,1.33557047,0.445925859,1,0,4,4,1.342281879,1.783703437,0,10,10,0,10,0,10,0,0,0,0,0,0,11,16,5,12.67785235,2.229629296,11,0,1,1,0.66442953,0.445925859,1,0,2,2,0.67114094,0.891851718,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.33557047,0.445925859,1,11.07,25.92,14.85,16.05322148,6.621999009,11.07,0,0.799,0.799,0.268120805,0.356294761,0,0,0,0,0,0,0,14,225,211,154.1946309,94.09035629,225
Bi2Te3,300,4.017,Bi2 Te3,52,83,31,64.4,14.88,52,86,90,4,88.4,1.92,90,127.6,208.9804,81.3804,160.15216,39.062592,127.6,544.4,722.66,178.26,651.356,85.5648,722.66,15,16,1,15.6,0.48,16,5,6,1,5.4,0.48,5,138,148,10,142,4.8,138,2.02,2.1,0.08,2.068,0.0384,2.1,2,2,0,2,0,2,3,4,1,3.6,0.48,4,10,10,0,10,0,10,0,14,14,5.6,6.72,0,16,29,13,21.2,6.24,16,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,32.95,34.76333333,1.813333333,34.038,0.8704,34.76333333,0,0.464,0.464,0.2784,0.22272,0.464,0,0,0,0,0,0,12,152,140,96,67.2,152
Cr1.3Mo6S8,700,2.691,Cr1.3 Mo6 S8,16,42,26,26.87581699,11.86210432,16,49,88,39,69.78431373,19.04908369,88,32.065,95.96,63.895,58.8153549,29.13305498,32.065,388.36,2896,2507.64,1523.979085,1187.575514,388.36,6,16,10,11.22875817,4.98953394,16,3,5,2,3.869281046,0.909052074,3,105,154,49,127.1045752,23.1158956,105,1.66,2.58,0.92,2.337124183,0.253987782,2.58,1,2,1,1.522875817,0.498953394,2,0,4,4,2.091503268,1.995813576,4,0,5,5,2.385620915,2.49476697,0,0,0,0,0,0,0,6,6,0,6,8.88E-16,6,0,1,1,0.477124183,0.498953394,0,0,2,2,1.045751634,0.997906788,2,0,5,5,2.385620915,2.49476697,0,0,0,0,0,0,0,2,6,4,3.908496732,1.995813576,2,11.19,25.786875,14.596875,20.58705882,5.437716263,25.786875,0,2.202,2.202,1.151372549,1.098695374,2.202,0,0,0,0,0,0,70,229,159,145.8627451,79.33358965,70
Bi1.2S1.2Ti2S4,300,2.94,Bi1.2 S5.2 Ti2,16,83,67,27,16,16,43,88,45,77,16.19047619,88,32.065,208.9804,176.9154,61.10100952,42.25125442,32.065,388.36,1941,1552.64,780.327619,552.7011338,388.36,4,16,12,13,4.285714286,16,3,6,3,3.666666667,0.825396825,3,105,160,55,124.2380952,23.8185941,105,1.54,2.58,1.04,2.252380952,0.405623583,2.58,2,2,0,2,0,2,0,4,4,2.904761905,1.383219955,4,0,10,10,1.904761905,2.358276644,0,0,14,14,2,3.428571429,0,4,29,25,8.80952381,5.768707483,6,0,0,0,0,0,0,0,3,3,1.666666667,0.793650794,2,0,8,8,1.904761905,2.902494331,0,0,0,0,0,0,0,2,8,6,3.571428571,2.108843537,2,16.69,32.95,16.26,24.64425595,3.78774093,25.786875,0,2.202,2.202,1.363142857,1.038585034,2.202,0,2.25E-05,2.25E-05,5.37E-06,8.18E-06,0,12,194,182,91.23809524,48.93424036,70
Ba0.4Sr0.6PbO3,300,2.295,Ba0.4 Sr0.6 Pb1 O3,8,82,74,30.24,26.688,8,8,87,79,70.08,24.672,87,15.9994,207.2,191.2006,72.5402,67.84896,15.9994,54.8,1050,995.2,359.002,365.0424,54.8,2,16,14,12.8,4.32,16,2,6,4,3.48,1.776,2,66,215,149,109.4,52.08,66,0.89,3.44,2.55,2.7152,0.86976,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,10,10,2,3.2,0,0,14,14,2.8,4.48,0,2,28,26,9.6,7.36,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.8,2,9.105,63.59,54.485,22.6798,16.28976,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,97.52,102.624,12
SrTi0.8Nb0.2O3,400,8.62,Sr1 Ti0.8 Nb0.2 O3,8,41,33,17.56,11.472,8,8,87,79,62.56,29.328,87,15.9994,92.90638,76.90698,38.4986152,26.99905824,15.9994,54.8,2750,2695.2,663.44,730.368,54.8,2,16,14,10.84,6.192,16,2,5,3,3.04,1.248,2,66,195,129,110.76,53.712,66,0.95,3.44,2.49,2.5644,1.05072,3.44,1,2,1,1.96,0.0768,2,0,4,4,2.4,1.92,4,0,4,4,0.48,0.768,0,0,0,0,0,0,0,2,6,4,4.84,1.4048,6,0,1,1,0.04,0.0768,0,0,2,2,1.2,0.96,2,0,8,8,1.52,2.432,0,0,0,0,0,0,0,0,8,8,2.76,2.016,2,9.105,54.23,45.125,19.7066,13.80936,9.105,0,0,0,0,0,0,0,2.25E-05,2.25E-05,3.61E-06,6.06E-06,0,12,229,217,92.4,96.48,12
Mg2Si0.997Bi0.003,300,6.16,Mg2 Si0.997 Bi0.003,12,83,71,12.73566667,0.980888889,12,68,86,18,71.34133333,4.455111111,68,24.305,208.9804,184.6754,25.74606157,1.921415422,24.305,544.4,1687,1142.6,1176.524067,339.296337,923,2,15,13,6.001,5.334666667,2,3,6,3,3.003,0.005994,3,111,148,37,131.037,13.317926,141,1.31,2.02,0.71,1.506786667,0.262382222,1.31,2,2,0,2,0,2,0,3,3,0.667666667,0.890222222,0,0,10,10,0.01,0.01998,0,0,14,14,0.014,0.027972,0,2,29,27,2.691666667,0.922222222,2,0,0,0,0,0,0,0,4,4,1.332333333,1.776444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.332333333,1.776444444,0,20.44,32.95,12.51,22.08584333,1.093937202,22.89,0,0.773,0.773,0.256893667,0.343038676,0,0,0,0,0,0,0,12,227,215,204.785,14.76557,194
Zn4Sb3,400,0.75,Zn4 Sb3,30,51,21,39,10.28571429,30,69,85,16,75.85714286,7.836734694,69,65.38,121.76,56.38,89.54285714,27.61469388,65.38,692.68,903.78,211.1,783.1514286,103.3959184,692.68,12,15,3,13.28571429,1.469387755,12,4,5,1,4.428571429,0.489795918,4,122,139,17,129.2857143,8.326530612,122,1.65,2.05,0.4,1.821428571,0.195918367,1.65,2,2,0,2,0,2,0,3,3,1.285714286,1.469387755,0,10,10,0,10,0,10,0,0,0,0,0,0,12,15,3,13.28571429,1.469387755,12,0,0,0,0,0,0,0,3,3,1.285714286,1.469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.285714286,1.469387755,0,13.96,31.56,17.6,21.50285714,8.620408163,13.96,0,0,0,0,0,0,0,0,0,0,0,0,166,194,28,182,13.71428571,194
Tl0.01Pb0.99Te,400,1.552,Tl0.01 Pb0.99 Te1,52,82,30,66.995,14.995,52,76,90,14,85.475,4.525,90,127.6,207.2,79.6,167.3859165,39.7859165,127.6,577,722.66,145.66,661.51695,61.14305,722.66,13,16,3,14.995,1.005,16,5,6,1,5.5,0.5,5,138,146,8,141.995,3.995,138,1.62,2.33,0.71,2.21145,0.1173645,2.1,2,2,0,2,0,2,1,4,3,2.995,1.005,4,10,10,0,10,0,10,0,14,14,7,7,0,16,28,12,21.995,5.995,16,0,0,0,0,0,0,2,5,3,3.005,1.005,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.005,1.005,2,26.91,34.76333333,7.853333333,31.43066667,3.332666667,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,0,152,225,73,188.345,36.345,152
