formula,T(K),true_k(W/mK),pred_k(W/mK)
Li2Pb2Se3,800,0.44,0.6050789
PbSe,300,2.863,2.571939
PbSe,400,2.155,1.9336
PbSe,500,1.728,1.75892
PbSe,600,1.441,1.6891975
PbTe,800,1.413,1.4357919
ZnIn2Se4,800,0.9,0.7116526
KMgAs,400,1.6,1.545949
KMgAs,500,1.4,1.4902228
KMgAs,600,1.35,1.4508883
KMgAs,700,1.2,1.4347123
KMgSb,300,1.2,1.412438
KMgSb,400,0.98,1.2160311
BiSbS3,300,1.29,1.0788405
BiSbS4,400,0.84,0.878506
BiSbS5,500,0.82,0.88113844
BiSbS6,600,0.76,0.91558576
CuGaTe2,400,3.65,3.399239
CuGaTe2,450,3.11,3.399239
CuGa0.99Ti0.01Te2,400,3.49,3.2201989
CuGa0.99Ti0.01Te2,450,3.02,3.2201989
CuGa0.97Ti0.03Te2,500,3.34,3.1229448
CuGa0.97Ti0.03Te2,550,2.82,3.1229448
CuGa0.95Ti0.05Te2,450,3.7,3.4168005
CuGa0.95Ti0.05Te2,500,3.34,3.2959309
BaSnS3,300,2.11,2.0137331
BaSnS3,450,1.51,1.6545899
BaSnS3,525,1.47,1.5048193
BaSnS3,600,1.33,1.4647686
BaSnS3,675,1.25,1.4647686
SrSnS3,375,1.74,1.7426603
SrSnS3,450,1.55,1.3965503
SrSnS3,525,1.43,1.2957344
SrSnS3,600,1.32,1.2556838
SrSnS3,675,1.22,1.2556838
SrSnS3,750,1.15,1.2395078
SrSnS3,825,1.1,1.2509589
Ga2I2S2,650,1.88,1.6827085
Ga2I2S2,700,1.74,1.4457201
Ga2I2S2,750,1.69,1.4457201
Ga2I2S2,800,1.65,1.4253826
SnBi2Te4,500,0.53,0.75307316
PbSb2Te4,300,2.53,2.3495688
PbSb2Te4,350,2.23,2.3495688
PbSb2Te4,600,1.48,1.2128577
PbSb2Te4,650,1.4,1.2128577
PbSb2Te4,700,1.33,1.0873264
PbSb2Te4,750,1.31,1.0873264
PbSb2Te4,800,1.2,1.0825421
PbSb2Te4,850,1.15,1.0825421
PbSb2Te4,900,1.1,1.0825421
PbSb2Te4,950,0.98,1.0825421
PbSb2Te4,1000,0.97,1.0908346
PbSb2Te4,1050,0.96,1.0908346
PbSb2Te4,1100,0.95,1.0908346
PbSb2Te4,1150,0.94,1.0908346
PbSb2Te4,1200,0.93,1.0908346
PbBi2Te4,350,2.66,2.5022252
PbBi2Te4,950,1.26,1.1008652
PbBi2Te4,1000,1.2,1.1091578
PbBi2Te4,1050,1.15,1.1091578
PbBi2Te4,1100,1.1,1.1091578
PbBi2Te4,1150,1.05,1.1091578
PbBi2Te4,1200,1.03,1.1091578
Cu2ZnSnS4,300,2.13,1.8414359
Cu2ZnSnSe4,600,2.98,2.744411
Cu2ZnSnSe4,700,2.46,2.6310434
CuGaTe2CdCl2,650,1.88,1.4678007
CuGaTe2CdCl2,700,1.62,1.4516248
CuGaTe2CdCl2,750,1.45,1.4516248
CuGaTe2CdCl2,800,1.44,1.5815595
Cu0.99Ga0.99Te1.98Cd0.01Cl0.02,350,3.46,3.427687
CuGaTe2ZnCl2,650,1.72,1.6172599
CuGaTe2ZnCl2,700,1.53,1.6010839
CuGaTe2ZnCl2,750,1.51,1.6010839
NaCuTe,200,1.15,1.4527231
NaCuTe,500,1.12,1.2058747
NaCuTe,600,0.98,1.1436026
KCuTe,500,1.44,1.2052228
KCuTe,600,1.11,1.1429508
KCuTe,700,0.89,1.1267748
RbCuTe,400,1.62,1.6695851
RbCuTe,500,1.14,1.3811201
RbCuTe,600,1.02,1.2768373
