formula,T(K),composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Li2Pb2Se3,300,Li2 Pb2 Se3,3.0,82.0,79.0,38.857142857142854,24.653061224489793,34.0,1.0,89.0,88.0,61.57142857142857,34.61224489795918,89.0,6.941,207.2,200.259,95.02314285714286,64.1010612244898,78.96,453.69,600.61,146.92000000000002,512.9428571428572,50.095510204081656,494.0,1.0,16.0,15.0,11.142857142857142,5.795918367346938,16.0,2.0,6.0,4.0,4.0,1.1428571428571428,4.0,120.0,146.0,26.0,129.71428571428572,9.306122448979595,120.0,0.98,2.55,1.5699999999999998,2.0385714285714287,0.6048979591836733,2.55,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.4693877551020407,4.0,0.0,10.0,10.0,7.142857142857143,4.081632653061225,10.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,1.0,28.0,27.0,15.142857142857142,8.081632653061224,16.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,4.0,4.0,2.0,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.9795918367346939,2.0,16.5933333333,28.11,11.5166666667,23.88095238094286,4.1643537415102045,25.92,0.0,0.799,0.799,0.34242857142857147,0.3913469387755102,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,135.71428571428572,104.3265306122449,14.0
Li2Pb2Se3,400,Li2 Pb2 Se3,3.0,82.0,79.0,38.857142857142854,24.653061224489793,34.0,1.0,89.0,88.0,61.57142857142857,34.61224489795918,89.0,6.941,207.2,200.259,95.02314285714286,64.1010612244898,78.96,453.69,600.61,146.92000000000002,512.9428571428572,50.095510204081656,494.0,1.0,16.0,15.0,11.142857142857142,5.795918367346938,16.0,2.0,6.0,4.0,4.0,1.1428571428571428,4.0,120.0,146.0,26.0,129.71428571428572,9.306122448979595,120.0,0.98,2.55,1.5699999999999998,2.0385714285714287,0.6048979591836733,2.55,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.4693877551020407,4.0,0.0,10.0,10.0,7.142857142857143,4.081632653061225,10.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,1.0,28.0,27.0,15.142857142857142,8.081632653061224,16.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,4.0,4.0,2.0,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.9795918367346939,2.0,16.5933333333,28.11,11.5166666667,23.88095238094286,4.1643537415102045,25.92,0.0,0.799,0.799,0.34242857142857147,0.3913469387755102,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,135.71428571428572,104.3265306122449,14.0
Li2Pb2Se3,500,Li2 Pb2 Se3,3.0,82.0,79.0,38.857142857142854,24.653061224489793,34.0,1.0,89.0,88.0,61.57142857142857,34.61224489795918,89.0,6.941,207.2,200.259,95.02314285714286,64.1010612244898,78.96,453.69,600.61,146.92000000000002,512.9428571428572,50.095510204081656,494.0,1.0,16.0,15.0,11.142857142857142,5.795918367346938,16.0,2.0,6.0,4.0,4.0,1.1428571428571428,4.0,120.0,146.0,26.0,129.71428571428572,9.306122448979595,120.0,0.98,2.55,1.5699999999999998,2.0385714285714287,0.6048979591836733,2.55,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.4693877551020407,4.0,0.0,10.0,10.0,7.142857142857143,4.081632653061225,10.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,1.0,28.0,27.0,15.142857142857142,8.081632653061224,16.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,4.0,4.0,2.0,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.9795918367346939,2.0,16.5933333333,28.11,11.5166666667,23.88095238094286,4.1643537415102045,25.92,0.0,0.799,0.799,0.34242857142857147,0.3913469387755102,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,135.71428571428572,104.3265306122449,14.0
Li2Pb2Se3,600,Li2 Pb2 Se3,3.0,82.0,79.0,38.857142857142854,24.653061224489793,34.0,1.0,89.0,88.0,61.57142857142857,34.61224489795918,89.0,6.941,207.2,200.259,95.02314285714286,64.1010612244898,78.96,453.69,600.61,146.92000000000002,512.9428571428572,50.095510204081656,494.0,1.0,16.0,15.0,11.142857142857142,5.795918367346938,16.0,2.0,6.0,4.0,4.0,1.1428571428571428,4.0,120.0,146.0,26.0,129.71428571428572,9.306122448979595,120.0,0.98,2.55,1.5699999999999998,2.0385714285714287,0.6048979591836733,2.55,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.4693877551020407,4.0,0.0,10.0,10.0,7.142857142857143,4.081632653061225,10.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,1.0,28.0,27.0,15.142857142857142,8.081632653061224,16.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,4.0,4.0,2.0,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.9795918367346939,2.0,16.5933333333,28.11,11.5166666667,23.88095238094286,4.1643537415102045,25.92,0.0,0.799,0.799,0.34242857142857147,0.3913469387755102,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,135.71428571428572,104.3265306122449,14.0
Li2Pb2Se3,700,Li2 Pb2 Se3,3.0,82.0,79.0,38.857142857142854,24.653061224489793,34.0,1.0,89.0,88.0,61.57142857142857,34.61224489795918,89.0,6.941,207.2,200.259,95.02314285714286,64.1010612244898,78.96,453.69,600.61,146.92000000000002,512.9428571428572,50.095510204081656,494.0,1.0,16.0,15.0,11.142857142857142,5.795918367346938,16.0,2.0,6.0,4.0,4.0,1.1428571428571428,4.0,120.0,146.0,26.0,129.71428571428572,9.306122448979595,120.0,0.98,2.55,1.5699999999999998,2.0385714285714287,0.6048979591836733,2.55,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.4693877551020407,4.0,0.0,10.0,10.0,7.142857142857143,4.081632653061225,10.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,1.0,28.0,27.0,15.142857142857142,8.081632653061224,16.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,4.0,4.0,2.0,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.9795918367346939,2.0,16.5933333333,28.11,11.5166666667,23.88095238094286,4.1643537415102045,25.92,0.0,0.799,0.799,0.34242857142857147,0.3913469387755102,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,135.71428571428572,104.3265306122449,14.0
Li2Pb2Se3,800,Li2 Pb2 Se3,3.0,82.0,79.0,38.857142857142854,24.653061224489793,34.0,1.0,89.0,88.0,61.57142857142857,34.61224489795918,89.0,6.941,207.2,200.259,95.02314285714286,64.1010612244898,78.96,453.69,600.61,146.92000000000002,512.9428571428572,50.095510204081656,494.0,1.0,16.0,15.0,11.142857142857142,5.795918367346938,16.0,2.0,6.0,4.0,4.0,1.1428571428571428,4.0,120.0,146.0,26.0,129.71428571428572,9.306122448979595,120.0,0.98,2.55,1.5699999999999998,2.0385714285714287,0.6048979591836733,2.55,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.4693877551020407,4.0,0.0,10.0,10.0,7.142857142857143,4.081632653061225,10.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,1.0,28.0,27.0,15.142857142857142,8.081632653061224,16.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,4.0,4.0,2.0,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.9795918367346939,2.0,16.5933333333,28.11,11.5166666667,23.88095238094286,4.1643537415102045,25.92,0.0,0.799,0.799,0.34242857142857147,0.3913469387755102,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,135.71428571428572,104.3265306122449,14.0
PbSe,300,Pb1 Se1,34.0,82.0,48.0,58.0,24.0,34.0,81.0,89.0,8.0,85.0,4.0,81.0,78.96,207.2,128.24,143.07999999999998,64.12,78.96,494.0,600.61,106.61000000000001,547.3050000000001,53.30500000000001,494.0,14.0,16.0,2.0,15.0,1.0,14.0,4.0,6.0,2.0,5.0,1.0,4.0,120.0,146.0,26.0,133.0,13.0,120.0,2.33,2.55,0.21999999999999975,2.44,0.10999999999999988,2.33,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,16.0,28.0,12.0,22.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,25.92,28.11,2.1899999999999977,27.015,1.0949999999999989,25.92,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,119.5,105.5,14.0
PbSe,400,Pb1 Se1,34.0,82.0,48.0,58.0,24.0,34.0,81.0,89.0,8.0,85.0,4.0,81.0,78.96,207.2,128.24,143.07999999999998,64.12,78.96,494.0,600.61,106.61000000000001,547.3050000000001,53.30500000000001,494.0,14.0,16.0,2.0,15.0,1.0,14.0,4.0,6.0,2.0,5.0,1.0,4.0,120.0,146.0,26.0,133.0,13.0,120.0,2.33,2.55,0.21999999999999975,2.44,0.10999999999999988,2.33,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,16.0,28.0,12.0,22.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,25.92,28.11,2.1899999999999977,27.015,1.0949999999999989,25.92,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,119.5,105.5,14.0
PbSe,500,Pb1 Se1,34.0,82.0,48.0,58.0,24.0,34.0,81.0,89.0,8.0,85.0,4.0,81.0,78.96,207.2,128.24,143.07999999999998,64.12,78.96,494.0,600.61,106.61000000000001,547.3050000000001,53.30500000000001,494.0,14.0,16.0,2.0,15.0,1.0,14.0,4.0,6.0,2.0,5.0,1.0,4.0,120.0,146.0,26.0,133.0,13.0,120.0,2.33,2.55,0.21999999999999975,2.44,0.10999999999999988,2.33,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,16.0,28.0,12.0,22.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,25.92,28.11,2.1899999999999977,27.015,1.0949999999999989,25.92,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,119.5,105.5,14.0
PbSe,600,Pb1 Se1,34.0,82.0,48.0,58.0,24.0,34.0,81.0,89.0,8.0,85.0,4.0,81.0,78.96,207.2,128.24,143.07999999999998,64.12,78.96,494.0,600.61,106.61000000000001,547.3050000000001,53.30500000000001,494.0,14.0,16.0,2.0,15.0,1.0,14.0,4.0,6.0,2.0,5.0,1.0,4.0,120.0,146.0,26.0,133.0,13.0,120.0,2.33,2.55,0.21999999999999975,2.44,0.10999999999999988,2.33,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,16.0,28.0,12.0,22.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,25.92,28.11,2.1899999999999977,27.015,1.0949999999999989,25.92,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,119.5,105.5,14.0
